i,ts,side,entry_px,fwd_close,adx_14,bb_width_rank,atr_rank,dist_from_mid,year,signed_ret,adx_bucket
100,2021-05-25 20:00:00,SHORT,37555.86,38175.61,17.10821405431353,0.075,0.024,-0.00596026393658507,2021,-0.01650208516061142,LOW
124,2021-05-26 02:00:00,SHORT,39095.79,39493.72,35.48403027057198,0.37,0.066,0.026170964843691604,2021,-0.01017833377967296,Q2
148,2021-05-26 08:00:00,SHORT,40023.93,40142.73,48.91527436110448,0.735,0.166,0.025990094092407715,2021,-0.0029682242598366255,Q3
173,2021-05-26 14:15:00,LONG,39149.8,38779.82,32.023565417780034,0.44,0.088,-0.015691936904399375,2021,-0.009450367562541908,Q2
197,2021-05-26 20:15:00,LONG,38689.54,38757.87,21.850163367787754,0.17,0.264,-0.01803197969543145,2021,0.0017661104267458786,LOW
221,2021-05-27 02:15:00,SHORT,37800.0,38063.27,41.126340671879916,0.77,0.226,-0.01698151431137098,2021,-0.00696481481481473,Q3
245,2021-05-27 08:15:00,LONG,38699.74,39603.44,33.13417409887537,0.55,0.062,0.01090953735557851,2021,0.023351578072617656,Q2
269,2021-05-27 14:15:00,SHORT,40230.11,38986.39,56.3873353772213,0.455,0.314,0.03723222955075041,2021,0.03091515285441678,HIGH
332,2021-05-28 06:00:00,LONG,36888.18,35884.68,39.3760780266482,0.82,0.48,-0.028491824404072507,2021,-0.027203836025523623,Q3
356,2021-05-28 12:00:00,LONG,36529.29,36230.13,37.62967993670053,0.91,0.892,-0.012859958100454923,2021,-0.00818959251603312,Q3
382,2021-05-28 18:30:00,LONG,36167.93,34933.02,44.03804143511013,0.59,0.636,-0.0019767069499869007,2021,-0.034143784286244844,Q3
413,2021-05-29 02:15:00,SHORT,36135.01,36868.34,44.30735176250567,0.965,0.316,0.0074139063505392466,2021,-0.020294169006733205,Q3
443,2021-05-29 09:45:00,LONG,35392.63,34888.18,41.614642782660404,1.0,0.5,-0.018657296312003364,2021,-0.01425296735506791,Q3
467,2021-05-29 15:45:00,LONG,34452.15,34051.48,37.68052750184851,0.545,0.91,-0.03235170205594873,2021,-0.011629753150383887,Q3
519,2021-05-30 04:45:00,SHORT,34769.06,35694.75,31.168697621236998,0.65,0.228,0.013143539833323552,2021,-0.026623958197316878,Q2
543,2021-05-30 10:45:00,SHORT,35722.28,35374.5,44.22048521667905,0.005,0.06,0.026565279220434744,2021,0.00973566076969328,Q3
589,2021-05-30 22:15:00,LONG,35930.93,34714.99,40.88083387063597,0.01,0.022,0.0029428758844956887,2021,-0.033841038904364636,Q3
613,2021-05-31 04:15:00,LONG,34234.84,35986.34,53.70618296125376,0.905,0.324,-0.029487172218285004,2021,0.0511613315558069,HIGH
637,2021-05-31 10:15:00,SHORT,36746.0,36427.99,69.57217294461502,0.985,0.572,0.034763386508595805,2021,0.008654275295270289,HIGH
661,2021-05-31 16:15:00,LONG,37157.55,36780.08,18.509908809008728,0.215,0.422,0.03800737491968609,2021,-0.01015863532444957,LOW
685,2021-05-31 22:15:00,LONG,37085.9,36775.63,22.315295858918603,0.055,0.04,0.010709003949123195,2021,-0.008366252403204561,LOW
709,2021-06-01 04:15:00,SHORT,36844.98,36168.0,31.48933186806286,0.675,0.186,-0.008907330834955327,2021,0.018373737752062917,Q2
747,2021-06-01 13:45:00,SHORT,37040.38,36158.94,23.385066511096767,0.685,0.716,0.014953976803168848,2021,0.023796732106959893,LOW
787,2021-06-01 23:45:00,SHORT,36693.41,36483.19,24.444274394478832,0.43,0.112,0.005811592456922204,2021,0.0057290941343418654,LOW
825,2021-06-02 09:15:00,SHORT,37345.48,37668.78,58.72310513633818,0.575,0.138,0.016826083997005057,2021,-0.008657004810220557,HIGH
849,2021-06-02 15:15:00,SHORT,38078.43,37847.28,31.480529573490475,0.785,0.244,0.02217853803651498,2021,0.006070365821279959,Q2
