month,trades,wins,wr,pnl_usd,pnl_pct,pf,max_dd_pct,held
2021-05,3,1,33.3,-266.24,-5.32,0.18,5.32,0
2021-06,13,7,53.8,-790.83,-15.82,0.14,17.48,0
2021-07,10,4,40.0,-735.81,-14.72,0.1,14.85,0
2021-08,15,10,66.7,148.49,2.97,1.24,7.08,2
2021-09,13,10,76.9,-182.75,-3.66,0.72,5.73,0
2021-10,9,9,100.0,431.42,8.63,inf,0.0,0
2021-11,12,9,75.0,-43.56,-0.87,0.98,5.31,0
2021-12,15,11,73.3,-233.11,-4.66,0.76,11.03,1
2022-01,11,5,45.5,-418.6,-8.37,0.38,10.34,0
2022-02,14,10,71.4,-336.52,-6.73,0.68,12.26,0
2022-03,7,6,85.7,688.07,13.76,5.53,2.77,0
2022-04,12,8,66.7,554.07,11.08,2.55,4.75,1
2022-05,15,9,60.0,-635.28,-12.71,0.35,17.69,0
2022-06,13,10,76.9,406.77,8.14,2.12,4.76,0
2022-07,16,10,62.5,-238.51,-4.77,0.78,8.08,2
2022-08,14,8,57.1,-476.44,-9.53,0.47,12.65,0
2022-09,11,8,72.7,444.22,8.88,3.05,4.25,1
2022-10,13,7,53.8,-201.0,-4.02,0.7,5.78,1
2022-11,15,9,60.0,-597.31,-11.95,0.26,12.01,0
2022-12,13,6,46.2,202.42,4.05,2.23,2.34,1
2023-01,10,5,50.0,-537.33,-10.75,0.22,11.09,0
2023-02,13,5,38.5,-523.21,-10.46,0.37,11.4,1
2023-03,8,7,87.5,226.23,4.52,2.4,3.48,1
2023-04,10,6,60.0,-299.25,-5.98,0.52,8.9,0
2023-05,9,3,33.3,-748.61,-14.97,0.13,16.95,0
2023-06,8,4,50.0,-621.23,-12.42,0.14,13.6,0
2023-07,7,6,85.7,118.14,2.36,6.37,0.58,0
2023-08,10,6,60.0,-578.94,-11.58,0.24,13.76,0
2023-09,8,5,62.5,34.99,0.7,1.52,2.01,0
2023-10,7,3,42.9,-217.98,-4.36,0.51,7.57,0
2023-11,8,4,50.0,-257.36,-5.15,0.4,6.9,0
2023-12,9,6,66.7,-127.71,-2.55,0.71,5.19,0
2024-01,8,6,75.0,671.62,13.43,2.71,4.73,1
2024-02,8,5,62.5,-219.67,-4.39,0.51,7.86,0
2024-03,3,2,66.7,-3.76,-0.08,1.05,1.57,0
2024-04,13,10,76.9,-126.55,-2.53,0.76,4.74,0
2024-05,8,6,75.0,81.25,1.63,1.42,4.73,1
2024-06,8,6,75.0,245.75,4.92,3.05,1.54,0
2024-07,15,9,60.0,435.76,8.72,2.35,4.76,0
2024-08,14,10,71.4,228.18,4.56,1.45,7.04,0
2024-09,12,7,58.3,-456.51,-9.13,0.47,11.53,0
2024-10,13,5,38.5,-543.57,-10.87,0.17,10.87,0
2024-11,11,5,45.5,-634.67,-12.69,0.21,13.73,0
2024-12,15,9,60.0,-398.6,-7.97,0.62,14.85,1
2025-01,12,3,25.0,-1320.82,-26.42,0.09,26.42,0
2025-02,13,6,46.2,-727.18,-14.54,0.26,14.54,0
2025-03,12,7,58.3,-363.57,-7.27,0.45,10.28,0
2025-04,12,9,75.0,106.53,2.13,1.5,4.83,0
2025-05,20,13,65.0,321.1,6.42,1.89,6.58,1
2025-06,11,4,36.4,-554.08,-11.08,0.19,13.04,0
2025-07,12,5,41.7,-390.2,-7.8,0.26,8.72,0
2025-08,10,4,40.0,-355.16,-7.1,0.42,8.51,0
2025-09,15,7,46.7,-257.35,-5.15,0.58,9.26,0
2025-10,15,9,60.0,-331.72,-6.63,0.54,8.01,0
2025-11,11,2,18.2,-699.33,-13.99,0.14,14.66,0
2025-12,9,4,44.4,-338.95,-6.78,0.37,9.21,0
2026-01,15,6,40.0,-820.22,-16.4,0.25,16.4,0
2026-02,13,8,61.5,-72.23,-1.44,0.92,4.74,0
2026-03,9,4,44.4,-539.37,-10.79,0.31,12.73,0
2026-04,14,6,42.9,-1.22,-0.02,1.19,2.28,0
2026-05,6,4,66.7,82.72,1.65,2.98,1.1,0
