month,trades,wins,wr,pnl_usd,pf,held
2021-05,3,1,33.3,-255.18642959059872,0.18,0
2021-06,14,8,57.1,-706.0059783265636,0.15,0
2021-07,10,4,40.0,-563.3779818858485,0.1,0
2021-08,15,10,66.7,131.9284428902957,1.24,2
2021-09,13,10,76.9,-102.19027923906714,0.72,0
2021-10,9,9,100.0,307.43777769786493,inf,0
2021-11,12,9,75.0,-8.423349840454279,0.98,0
2021-12,15,11,73.3,-137.7031421061336,0.76,1
2022-01,12,6,50.0,2.201433752195328,1.01,1
2022-02,13,9,69.2,-269.5942963714624,0.57,0
2022-03,7,6,85.7,450.07520809398,5.53,0
2022-04,12,8,66.7,424.98877152474927,2.55,1
2022-05,16,10,62.5,-425.4361436786008,0.43,0
2022-06,13,10,76.9,317.96531013067056,2.12,0
2022-07,16,10,62.5,-145.28105315373858,0.78,2
2022-08,14,8,57.1,-314.01716759509543,0.47,0
2022-09,11,8,72.7,313.07084908697044,3.05,1
2022-10,13,7,53.8,-115.80803715989487,0.7,1
2022-11,15,9,60.0,-380.79576065318383,0.26,0
2022-12,13,6,46.2,144.7605678110185,2.23,1
2023-01,10,5,50.0,-318.11438341731116,0.22,0
2023-02,13,5,38.5,-275.20818054327316,0.37,1
2023-03,8,7,87.5,127.43250576506021,2.4,1
2023-04,10,6,60.0,-142.06524024228807,0.52,0
2023-05,9,3,33.3,-354.6760941053799,0.13,0
2023-06,8,4,50.0,-250.96348352422444,0.14,0
2023-07,7,6,85.7,49.72561354203568,6.37,0
2023-08,10,6,60.0,-207.18770045188623,0.24,0
2023-09,8,5,62.5,19.856467423895797,1.52,0
2023-10,7,3,42.9,-65.35705199627559,0.51,0
2023-11,8,4,50.0,-75.36920678924596,0.4,0
2023-12,9,6,66.7,-30.320305350312815,0.71,0
2024-01,8,6,75.0,206.58803749210134,2.71,1
2024-02,8,5,62.5,-66.19427842888926,0.51,0
2024-03,3,2,66.7,1.233580251380964,1.05,0
2024-04,13,10,76.9,-28.979045494538006,0.76,0
2024-05,8,6,75.0,31.901703266200958,1.42,1
2024-06,8,6,75.0,86.02925920677471,3.05,0
2024-07,15,9,60.0,161.06613585889082,2.35,0
2024-08,14,10,71.4,98.89340898709534,1.45,0
2024-09,12,7,58.3,-159.59237918346506,0.47,0
2024-10,13,5,38.5,-173.65011639841777,0.17,0
2024-11,11,5,45.5,-184.27869471578444,0.21,0
2024-12,15,9,60.0,-94.42309336912888,0.62,1
2025-01,12,3,25.0,-317.01425421091056,0.09,0
2025-02,13,6,46.2,-125.19744853412897,0.26,0
2025-03,12,7,58.3,-51.121786222464195,0.45,0
2025-04,12,9,75.0,19.658801368861475,1.5,0
2025-05,20,13,65.0,54.99102061318287,1.89,1
2025-06,11,4,36.4,-81.81183527970458,0.19,0
2025-07,12,5,41.7,-49.69853896994204,0.26,0
2025-08,11,4,36.4,-57.69931714824108,0.34,0
2025-09,15,7,46.7,-24.90999916819822,0.58,0
2025-10,15,9,60.0,-31.8159707312146,0.54,0
2025-11,11,2,18.2,-68.66753586331959,0.14,0
2025-12,9,4,44.4,-27.661894493502743,0.37,0
2026-01,15,6,40.0,-63.468748198099384,0.25,0
2026-02,13,8,61.5,-2.24136756765051,0.92,0
2026-03,9,4,44.4,-34.7396068597345,0.31,0
2026-04,14,6,42.9,2.3309866017032723,1.19,0
2026-05,6,4,66.7,6.042980752485943,2.98,0
