reason,filled,bars_held,pnl_pct,qty,side,entry_ts,ym,year
L3_LOCK,3,16,0.004798800000000247,1.0,LONG,2019-09-15 01:45:00,2019-09,2019
L3_LOCK,3,10,0.004798799999999793,1.0,LONG,2019-09-16 13:45:00,2019-09,2019
FLIP,2,15,0.029752886199747662,0.42857142857142855,LONG,2019-09-19 16:30:00,2019-09,2019
L3_LOCK,3,16,0.004798800000000034,1.0,LONG,2019-09-20 17:15:00,2019-09,2019
L3_LOCK,3,17,0.004798800000000153,1.0,LONG,2019-09-21 08:15:00,2019-09,2019
FLIP,2,27,0.0060053140007617,0.42857142857142855,SHORT,2019-09-21 15:45:00,2019-09,2019
L3_LOCK,3,1,0.004798800000000384,1.0,LONG,2019-09-22 01:15:00,2019-09,2019
L3_LOCK,3,9,0.004798800000000066,1.0,LONG,2019-09-22 07:30:00,2019-09,2019
L3_LOCK,3,1,0.0047988000000004005,1.0,LONG,2019-09-23 14:15:00,2019-09,2019
L3_LOCK,3,1,0.004798800000000545,1.0,LONG,2019-09-24 00:00:00,2019-09,2019
L3_LOCK,3,1,0.004798800000000284,1.0,LONG,2019-09-24 14:15:00,2019-09,2019
L3_LOCK,3,1,0.004801199999999956,1.0,SHORT,2019-09-24 23:30:00,2019-09,2019
FLIP,1,17,0.006671895538228097,0.14285714285714285,SHORT,2019-09-25 22:15:00,2019-09,2019
L3_LOCK,3,10,0.004801199999999937,1.0,SHORT,2019-09-27 18:00:00,2019-09,2019
FLIP,2,11,0.012082650385411271,0.42857142857142855,SHORT,2019-09-29 22:45:00,2019-09,2019
L3_LOCK,3,4,0.004801200000000061,1.0,SHORT,2019-09-30 10:15:00,2019-09,2019
FLIP,2,24,0.019944015194796886,0.42857142857142855,SHORT,2019-10-01 03:30:00,2019-10,2019
L3_LOCK,3,6,0.0047987999999999495,1.0,LONG,2019-10-04 01:30:00,2019-10,2019
L3_LOCK,3,9,0.004801200000000269,1.0,SHORT,2019-10-04 11:45:00,2019-10,2019
L3_LOCK,3,6,0.004801200000000157,1.0,SHORT,2019-10-07 10:15:00,2019-10,2019
FLIP,1,8,0.0013208701193642017,0.14285714285714285,SHORT,2019-10-09 10:15:00,2019-10,2019
FLIP,1,3,0.0013435090249691497,0.14285714285714285,SHORT,2019-10-10 08:45:00,2019-10,2019
FLIP,2,48,0.022529514042552806,0.42857142857142855,SHORT,2019-10-13 16:45:00,2019-10,2019
L3_LOCK,3,1,0.004801200000000084,1.0,SHORT,2019-10-15 15:30:00,2019-10,2019
L3_LOCK,3,23,0.004801199999999969,1.0,SHORT,2019-10-17 10:30:00,2019-10,2019
FLIP,2,65,0.03826373772227891,0.42857142857142855,LONG,2019-10-20 02:30:00,2019-10,2019
FLIP,1,13,0.002610291052422648,0.14285714285714285,SHORT,2019-10-22 12:00:00,2019-10,2019
L3_LOCK,3,1,0.004798800000000078,1.0,LONG,2019-10-26 19:15:00,2019-10,2019
L3_LOCK,3,1,0.004798800000000544,1.0,LONG,2019-10-28 06:15:00,2019-10,2019
L3_LOCK,3,5,0.004801199999999848,1.0,SHORT,2019-10-28 22:00:00,2019-10,2019
L3_LOCK,3,20,0.004801200000000041,1.0,SHORT,2019-10-29 13:15:00,2019-10,2019
L3_LOCK,3,5,0.004798800000000273,1.0,LONG,2019-10-30 06:30:00,2019-10,2019
L3_LOCK,3,1,0.004798800000000184,1.0,LONG,2019-10-30 08:15:00,2019-10,2019
L3_LOCK,3,36,0.0047988000000003935,1.0,LONG,2019-10-31 01:45:00,2019-10,2019
L3_LOCK,3,1,0.004798800000000486,1.0,LONG,2019-10-31 15:00:00,2019-10,2019
